"timestamp","value","state_context"
"2026-02-03 19:42:40.717+00","327","CYCLE_COUNT"
"2026-02-03 19:42:53.738+00","328","CYCLE_COUNT"
"2026-02-03 19:43:02.255+00","329","CYCLE_COUNT"
"2026-02-03 19:43:13.274+00","330","CYCLE_COUNT"
"2026-02-03 19:43:23.292+00","331","CYCLE_COUNT"
"2026-02-03 19:43:35.813+00","332","CYCLE_COUNT"
"2026-02-03 19:43:45.83+00","333","CYCLE_COUNT"
"2026-02-03 19:43:56.351+00","334","CYCLE_COUNT"
"2026-02-03 19:44:06.87+00","335","CYCLE_COUNT"
"2026-02-03 19:44:19.395+00","336","CYCLE_COUNT"
"2026-02-03 19:44:30.916+00","337","CYCLE_COUNT"
"2026-02-03 19:44:42.436+00","338","CYCLE_COUNT"
"2026-02-03 19:44:54.457+00","339","CYCLE_COUNT"
"2026-02-03 19:45:03.474+00","340","CYCLE_COUNT"
"2026-02-03 19:45:14.494+00","341","CYCLE_COUNT"
"2026-02-03 19:45:25.016+00","342","CYCLE_COUNT"
"2026-02-03 19:45:37.541+00","343","CYCLE_COUNT"
"2026-02-03 19:45:47.057+00","344","CYCLE_COUNT"
"2026-02-03 19:45:59.579+00","345","CYCLE_COUNT"
"2026-02-03 19:46:10.099+00","346","CYCLE_COUNT"
"2026-02-03 19:46:20.117+00","347","CYCLE_COUNT"
"2026-02-03 19:46:31.636+00","348","CYCLE_COUNT"
"2026-02-03 19:46:42.656+00","349","CYCLE_COUNT"
"2026-02-03 19:46:54.68+00","350","CYCLE_COUNT"
"2026-02-03 19:47:05.701+00","351","CYCLE_COUNT"
"2026-02-03 19:47:16.718+00","352","CYCLE_COUNT"
"2026-02-03 19:47:28.238+00","353","CYCLE_COUNT"
"2026-02-03 19:47:39.259+00","354","CYCLE_COUNT"
"2026-02-03 19:47:50.278+00","355","CYCLE_COUNT"
"2026-02-03 19:48:00.296+00","356","CYCLE_COUNT"
"2026-02-03 19:48:11.316+00","357","CYCLE_COUNT"
"2026-02-03 19:48:23.335+00","358","CYCLE_COUNT"
"2026-02-03 19:48:33.353+00","359","CYCLE_COUNT"
"2026-02-03 19:48:44.875+00","360","CYCLE_COUNT"
